Country,Ladder,Log_GDP,Soc_Support,Health_Expect,Freedom,Generosity,Conf_Gov,Pos_Affect,Neg_Affect,Corrupt,sdLadder,cvLadder,Gini_Household,Int_Score
Somalia,4.6679410934,8.36519432067871,0.5944165587,47.5627632141,0.9173228145,-0.041530519723892,0.7006816864,0.8914231658,0.1932822317,0.4408017397,2.1773898602,0.466456145,0.491746068,4.75009794036547
Somaliland,5.0573143959,10.6506643295288,0.7862912416,69.3274154663086,0.7582190037,0.100423946976662,0.6512415409,0.7351891398,0.1524282247,0.3338317275,1.8478025198,0.3653723001,0.5335746408,6.44758145014445
South Africa,4.7697396278,9.415353775,0.8753897548,50.1988639832,0.7741364241,-0.0807230398,0.4831222892,0.7857236266,0.301327765,0.8128589988,2.7798213959,0.582803607,0.5683599114,4.0656508008639
South Korea,5.9705643654,10.4679498672,0.8111634851,74.8541259766,0.5909560323,0.0147187384,0.2370815724,0.6762233973,0.2327326834,0.8618163466,2.1292307377,0.3566213548,0.388548255,6.08580142259598
South Sudan,2.8881123066,7.4612855911,0.5321518183,49.4006004333,0.4399190247,0.0202087369,0.4562875628,0.6147706509,0.5492569208,0.7853177786,2.9095623493,1.0074269772,0.7402030826,0.268255869547525
Spain,6.3186120987,10.4278001785,0.9417368174,73.9597244263,0.7681737542,-0.0589651987,0.302516669,0.6528161168,0.3008293509,0.8185585737,1.6061495543,0.2541933954,0.384632498,6.81670069694519
Sri Lanka,4.6116065979,9.3099746704,0.8625000715,64.9443435669,0.9020747542,0.3121854365,0.7396698594,0.8482329249,0.2347512692,0.8594709635,2.187703371,0.4743907154,0.3693807721,5.77072893579801
Sudan,4.1386728287,8.2641687393,0.8106155396,53.3857536316,0.3900958002,-0.0642621294,0.546698242725918,0.5408450365,0.3027249873,0.7937850356,2.6222064495,0.6335862875,0.4554386437,1.82215253512065
Suriname,6.2692866325,9.644317627,0.7972620726,60.6911277771,0.8854884505,-0.0808974504,0.7217652798,0.7642226815,0.250364989,0.7512828708,1.9483901262,0.3107833862,0.3676041663,6.20338439941406
Swaziland,4.8670911789,8.9385576248,0.8371497393,41.4522972107,0.6071572304,-0.0761442333,0.3532808423,0.820613265,0.2510533929,0.9172500968,2.1214668751,0.4358798265,0.6886978149,3.42720637718836
Sweden,7.3687443733,10.7443037033,0.912060678,71.9614486694,0.9180364013,0.1314941049,0.4857913256,0.815695107,0.2006069124,0.2461824417,1.6304998398,0.221272409,0.4251170754,8.60789855321248
Switzerland,7.4585199356,10.9175109863,0.9276282787,72.9570999146,0.9339470863,0.0780582353,0.7985367179,0.7794708014,0.2063167244,0.3015629649,1.6944100857,0.2271777987,0.5107927322,8.43892852465312
Syria,3.4619128704,7.50129365921021,0.4639128745,60.5969161987,0.4482708573,0.017037136480212,0.506294906945771,0.3694396019,0.6425887346,0.6852369308,2.8120822906,0.8122914433,0.5259336829,0.430117845535278
Taiwan,6.5128507614,10.232515335083,0.8949892521,70.9800033569,0.7189251781,-0.023495307192206,0.4047133327,0.8331528902,0.108305417,0.8105210066,1.9649697542,0.3017065525,0.3963709176,8.06853254636129
Tajikistan,5.1037211418,7.8868994713,0.8566569686,61.7590446472,0.7030268908,0.0149014983,0.425016848364884,0.6444846392,0.2197996676,0.6318878531,1.6738798618,0.3279724419,0.3363246024,4.77047525346279
Tanzania,2.9027342796,7.8673510551,0.6377559304,56.4737472534,0.7754849195,0.1722270697,0.8995608687,0.6935523748,0.245985955,0.7392472625,2.5138084888,0.8660140038,0.6071478128,1.48053288459778
Thailand,6.0736398697,9.6598730087,0.9075436592,65.7995529175,0.9241456985,0.3459128439,0.645925045,0.8347583413,0.2178796679,0.8779783845,2.2326745987,0.3676007688,0.4759054482,6.90346300601959
Togo,3.8785784245,7.2545585632,0.5094409585,52.3298988342,0.730286777,-0.0005805606,0.4858599007,0.6042441726,0.4828858972,0.8150441647,2.5482358932,0.6570025682,0.4992194474,1.33051594098409
Trinidad and Tobago,6.1677069664,10.3218793869,0.8831804991,61.266040802,0.8469414711,0.105557844,0.3834844232,0.8325026631,0.2859294415,0.947674036,2.163310051,0.3507478535,0.444016963243485,6.64911210536957
Tunisia,4.5214533806,9.2882957458,0.7018221021,64.5618133545,0.614438355,-0.1789141893,0.3474312425,0.6123411059,0.378108263,0.8107456565,2.1329026222,0.4717294276,0.3886747062,3.37273240089416
Turkey,5.3262219429,9.8738393784,0.8799946308,65.5972366333,0.6441467404,-0.025931879878044,0.5837282538,0.4651506543,0.3899629414,0.7637065649,2.3882963657,0.4484034777,0.3375799656,3.60585073630015
Turkmenistan,5.8870515823,9.6871805191,0.9290322661,58.562210083,0.7485044003,-0.0225980822,0.416373481394055,0.6363886595,0.2554992437,0.703376650810242,1.1540609598,0.1960337758,0.2234702855,5.7771672308445
Uganda,4.2332611084,7.4653272629,0.7535402179,51.4619293213,0.7394097447,0.14514184,0.6715658307,0.667976141,0.4100666642,0.8110697865,3.0954949856,0.7312317491,0.6555370092,1.73587878545125
Ukraine,4.0286903381,8.929476738,0.8849613667,63.2136039734,0.5025418997,0.0312925689,0.125653401,0.5887216926,0.2196242511,0.8910751343,2.0417196751,0.5067948699,0.3859155178,3.86195739110311
United Arab Emirates,6.8309502602,11.1110887527,0.8493798375,68.5103607178,0.9491195083,0.1053938642,0.473975236238882,0.7751284838,0.2446679026,0.450809419155121,2.1455595493,0.314093858,0.5313806534,7.68451650937398
United Kingdom,6.8242835999,10.5713329315,0.9540681839,71.138961792,0.8211921453,0.2398626953,0.4086320698,0.775853157,0.2295867801,0.4583132863,1.6288197041,0.2386799604,0.3829317987,7.81777739524841
United States,6.8035998344,10.8797063828,0.8967512846,70.1253509521,0.7578930855,0.1280532926,0.2972056568,0.8056735396,0.2642038167,0.7389195561,1.9722027779,0.2898763716,0.6933149099,6.87931398550669
Uruguay,6.171485424,9.9049243927,0.9003809094,68.2526168823,0.8863719106,-0.0855473429,0.4231325984,0.8415488601,0.2831802666,0.6762127876,2.31823349,0.37563622,0.4281628728,7.00266281763713
Uzbekistan,5.8925390244,8.6920452118,0.9451021552,60.6225738525,0.9838030338,0.2049927264,0.476746073768185,0.8416762948,0.1468976587,0.559959650039673,2.3306574821,0.3955268562,0.5644083619,6.82909389336904
Venezuela,4.0411148071,9.5340585709,0.9019492865,64.7492599487,0.457601577,-0.2061442137,0.1640215218,0.6882012486,0.3917541206,0.8901246786,2.6492996216,0.6555863023,0.3971829712,3.59391788641612
Vietnam,5.0622673035,8.6921195984,0.8763235807,65.9421386719,0.8943511248,-0.088429682,0.389952818396376,0.5362257361,0.2225501984,0.7992401719,1.7678194046,0.3492149413,0.4368779659,5.42264421780904
Yemen,3.8256309032,8.09772682189941,0.7754070163,54.2426300049,0.5329640508,-0.052291747182608,0.2675811946,0.4693453908,0.2279245257,0.824512720108032,2.1055254936,0.5503733754,0.4110207558,2.72913157939911
Zambia,4.3475437164,8.198633194,0.7670466304,52.8893241882,0.8115745187,0.1148023084,0.6968915462,0.730679512,0.3722407222,0.7706435919,3.1972262859,0.7354097962,0.6813925505,2.35798339049021
Zimbabwe,3.7354001999,7.4223079681,0.768425405,51.7279090881,0.7329714894,-0.0530704185,0.699344039,0.7376359105,0.2085549235,0.7236120105,2.7763631344,0.7432572246,0.5966901779,2.46726055939992
